,난민 지위,전쟁 난민 인원 현황
0,G / FI,0
1,U / FI,1186
2,G / EO,250
3,G / IN,273
4,G / FI,687
5,U / FI,102
6,U / FI,457
7,G / FI,2104
8,U / AR,2
9,U / FI,21
10,U / FI,380
11,G / AR,169
12,G / FI,687
13,G / FI,13
14,G / FI,592
15,U / FI,7
16,G / FI,1477
17,G / FI,253
18,G / FI,2
19,G / AR,2
20,G / FI,400
21,G / FI,2
22,G / AR,57
23,G / FI,656
24,G / JR,0
25,G / AR,4164
26,G / FI,5214
27,U / FI,126
28,G / FI,0
29,G / FI,1
30,U / FI,5
31,U / FI,37
32,G / FI,0
33,G / FI,61
34,U / FI,0
35,U / FI,18
36,U / FI,130
37,U / FI,2
38,G / FI,246
39,U / FI,0
40,G / FI,631
41,G / FI,24
42,U / FI,6
43,G / FA,351
44,G / FI,0
45,G / FI,233626
46,G / TR,1
47,G / FI,10
48,U / FI,332
49,U / FI,90
50,G / FI,2290
51,G / FI,0
52,U / FI,3
53,G / FI,159
54,G / BL,10
55,G / FI,2585
56,G / FI,204
57,G / FI,47
58,G / FI,3
59,G / FI,2
60,G / FI,37
61,U / FI,108
62,G / AR,152
63,G / FI,1089
64,G / RA,103
65,G / NA,3344
66,G / AR,68
67,G / FI,1261
68,U / FI,5
69,U / FI,19
70,U / FI,9
71,G / CA,46
72,G / FI,352
73,G / FI,490
74,G / FI,387
75,U / FI,2
76,G / FI,680
77,U / FI,2
78,G / AR,17
79,G / FI,68
80,U / FI,275
81,G / FA,3855
82,G / AR,63
83,G / FI,1431
84,G / FI,0
85,U / FI,15
86,G / FI,4
87,G / FI,31
88,G / FI,10
89,G / FI,87
90,G / EO,46
91,G / IN,66
92,G / FI,19
93,G / AR,1
94,G / FI,2
95,G / FI,0
96,G / FI,1
97,U / FI,0
98,G / FI,0
99,U / FI,0
100,G / FI,6
101,G / FI,19
102,G / AR,1
103,G / FI,0
104,G / FI,2
105,G / JR,0
106,G / AR,342
107,G / FI,1949
108,G / FI,1
109,U / FI,1
110,G / FI,0
111,G / FI,1
112,U / FI,3
113,U / FI,2
114,G / FI,1
115,U / FI,1
116,G / FA,47
117,G / TR,1
118,G / FI,126
119,G / FI,10
120,G / FI,2
121,G / FI,1
122,G / BL,330
123,G / FI,695
124,U / FI,0
