,name,field,rnaddr,addr,tel
0,스웨이,식음료,강원도 강릉시 경포로 489-6,강원도 강릉시 안현동 94-143,
1,미산분교캠핑장,숙박지,강원도 인제군 상남면 내린천로 1622,강원도 인제군 상남면 미산리 376-6,
2,하얀여울캠프,숙박지,강원도 영월군 무릉도원면 무릉법흥로 932,강원도 영월군 무릉도원면 법흥리 37-11,
3,솔솔밀크티,식음료,강원도 동해시 망상길 43,강원도 동해시 망상동 363-1,
4,카리스펜션,숙박지,강릉시 연곡면 해안로 1279,강원도 강릉시 연곡면 동덕리 144-10,
5,슬로우캠프,숙박지,강원도 영월군 무릉도원면 고일길 18-5,강원도 영월군 무릉도원면 운학리 614-3,
6,카페 캐빈,식음료,강원도 춘천시 남면 버들길 60-7,강원도 춘천시 남면 후동리 367-2,
7,금방아 민박 캠핑장,숙박지,강원도 영월군 무릉도원면 무릉법흥로 516,강원도 영월군 무릉도원면 법흥리 728-1,
8,카페너니,식음료,강원도 춘천시 효석로 129,강원도 춘천시 석사동 660-9,
9,사람과자연펜션,숙박지,강원도 영월군 주천면 평창강로 67,강원도 영월군 주천면 판운리 302-13,
10,세계주류마켓,식음료,강원도 춘천시 동내면 순환대로 630,강원도 춘천시 동내면 학곡리 5-63,
11,비안단테 펜션,숙박지,강원도 춘천시 서면 금산2길 22-4,강원도 춘천시 서면 금산리 477-1,
12,청호정펜션,숙박지,강원도 영월군 영월읍 선돌길 249,강원도 영월군 영월읍 방절리 676-2,
13,러브팩토리펜션&캠핑장,숙박지,강원도 정선군 남면 광락로 519,강원도 정선군 남면 낙동리 618,
14,거북이서프바,식음료,강원도 양양군 현남면 화상해안길 247,강원도 양양군 현남면 남애리 180-13,
15,와수리 커피,식음료,강원도 철원군 서면 아리랑로37번길 19,강원도 철원군 서면 와수리 1194-58,
16,양양해피플레이스,숙박지,강원도 양양군 강현면 중복골길 11,강원도 양양군 강현면 중복리 109-2,
17,해피플레이스애견비치,관광지,강원도 양양군 현북면 동해대로 1242,강원도 양양군 현북면 잔교리 41-10,
18,용산559,식음료,강원도 춘천시 신북읍 용산길 191-21,강원도 춘천시 신북읍 용산리 559,
19,해피리버펜션,숙박지,강원도 춘천시 남산면 홍천강변길 410,강원도 춘천시 남산면 산수리 455-4,
20,신나개 애견펜션,숙박지,강원도 삼척시 근덕면 덕산해안로 78,강원도 삼척시 근덕면 덕산리 300,
21,오크카운티펜션,숙박지,강원도 원주시 지정면 구재로 352-4,강원도 원주시 지정면 판대리 612-27,
22,강이네하우스,숙박지,강원도 양양군 서면 상평1길 17-2,강원도 양양군 서면 상평리 437,
23,카페멜버른,식음료,강원도 춘천시 남춘로45번길 28,강원도 춘천시 효자동 704-23,
24,펜션아이리스,숙박지,강원도 홍천군 서면 굴업솔골길 60-9,강원도 홍천군 서면 굴업리 280,
25,예와생스튜디오카페,식음료,강원도 춘천시 동면 가산로 186-5,강원도 춘천시 동면 지내리 407,
26,곰앤패들보드캠핑장,숙박지,강원도 강릉시 해안로 656-1,강원도 강릉시 안현동 227-1,
27,추암대게,식음료,강원도 동해시 촛대바위길 18,강원도 동해시 추암동 1-9,
28,학조리샘말펜션,숙박지,강원도 양구군 양구읍 학안로 97-21,강원도 양구군 양구읍 학조리 612-1,
29,캠핑올라,숙박지,강원도 영월군 주천면 황산벌길 186,강원도 영월군 주천면 용석리 1281-1,
30,아름다운집,숙박지,강원도 춘천시 남산면 북한강변길 826,강원도 춘천시 남산면 강촌리 645-1,
31,신북커피,식음료,강원도 춘천시 신북읍 신샘밭로 622-7,강원도 춘천시 신북읍 천전리 672-5,
32,하얀멍이 애견펜션,숙박지,강원도 양양군 서면 들돌길 207,강원도 양양군 서면 장승리 174,
33,홍시,식음료,강원도 홍천군 서면 한서로 1774,강원도 홍천군 서면 대곡리 613,
34,중앙동물병원,동물병원,강원도 강릉시 주문진읍 연주로 308-1,강원도 강릉시 주문진읍 교항리 48-218,
35,카페 까만콩,식음료,강원도 홍천군 홍천읍 홍천로 666-1,강원도 홍천군 홍천읍 결운리 314-16,
36,별비내리는마을펜션,숙박지,강원도 철원군 갈말읍 직탕길 26,강원도 철원군 갈말읍 상사리 536,
37,학마을캠핑장,숙박지,강원도 철원군 동송읍 도피동길 72-1,강원도 철원군 동송읍 관우리 374-1,
38,프로방스 카페,식음료,강원도 철원군 갈말읍 순담길 299,강원도 철원군 갈말읍 군탄리 1749-2,
39,조양펜션,숙박지,강원도 속초시 동해대로3950번길 15,강원도 속초시 조양동 1463-7,
40,엘페로애견펜션,숙박지,강원도 홍천군 서면 한서로 2019,강원도 홍천군 서면 대곡리 86-11,
41,하이하늘펜션,숙박지,강원도 정선군 고한읍 고토일길 275,강원도 정선군 고한읍 고한리 239,
42,더퍼피즈블루오션,숙박지,강원도 양양군 강현면 동해대로 3411,강원도 양양군 강현면 정암리 17-1,
43,헬로우씨카페,식음료,강원도 고성군 죽왕면 괘진길 53-11,강원도 고성군 죽왕면 문암진리 134-70,
44,하이봉자,숙박지,강원도 원주시 소초면 황골로 269-23,강원도 원주시 소초면 흥양리 972-1,
45,블루앤펫,숙박지,강원도 강릉시 창해로350번길 25,강원도 강릉시 강문동 212,
46,나인원펜션,숙박지,강릉시 안현로 114-12,강원도 강릉시 안현동 743-3,
47,도그밀리,숙박지,강원도 평창군 방림면 감동지길 100,강원도 평창군 방림면 계촌리 2232,
48,아담하우스,숙박지,강원도 양양군 강현면 주청2길 17,강원도 양양군 강현면 주청리 7-30,
49,방태산솔마루오토캠핑장,숙박지,,강원도 인제군 기린면 방동리 257,
50,유기농카페,식음료,강원도 춘천시 신북읍 지내고탄로 184,강원도 춘천시 신북읍 지내리 664-1,
51,반디하우스,숙박지,강원도 인제군 상남면 내린천로 2355,강원도 인제군 상남면 미산리 780-1,
52,카페공간,식음료,강원도 철원군 갈말읍 직탕길 26,강원도 철원군 갈말읍 상사리 535,
53,영월키즈캠핑장(힐링캠프),숙박지,강원도 영월군 무릉도원면 무릉법흥로 1208-7,강원도 영월군 무릉도원면 법흥리 181,
54,하늘풍경펜션,숙박지,강원도 춘천시 남산면 갯골길 178,강원도 춘천시 남산면 방곡리 591,
55,화천써비스펜션,숙박지,강원도 화천군 하남면 춘화로 2861-10,강원도 화천군 하남면 거례리 265,
56,나나 Dog,식음료,강원도 속초시 관광로 250-20,강원도 속초시 노학동 843-10,
57,경포도도애견펜션,숙박지,강릉시 하남길 197-15,강원도 강릉시 안현동 403-3,
58,프로방스 펜션,숙박지,강원도 정선군 남면 자뭇골길 212,강원도 정선군 남면 무릉리 739-14,
59,가을동화펜션,숙박지,강원도 평창군 봉평면 흥정계곡길 72,강원도 평창군 봉평면 흥정리 285-3,
60,힐링하시개,숙박지,강원도 평창군 봉평면 안흥동길 132-7,강원도 평창군 봉평면 무이리 1116-1,
61,해피몽펜션,숙박지,강릉시 성산면 삼왕길 171-13,강원도 강릉시 성산면 보광리 881-2,
62,봄여름가을겨울,숙박지,강원도 평창군 봉평면 거품소길 271,강원도 평창군 봉평면 유포리 409-4,
63,그랑샤리오,숙박지,강원도 평창군 방림면 감동지길 104,강원도 평창군 방림면 계촌리 2228-2,
64,정선황토펜션,숙박지,강원도 정선군 정선읍 병방치길 35-18,강원도 정선군 정선읍 북실리 630-3,
65,락있수다펜션,숙박지,강원도 정선군 화암면 소금강로 2188,강원 정선군 화암면 호촌리 172-7,
66,라비앙펜션,숙박지,강원도 평창군 봉평면 봉평북로 250-60,강원도 평창군 봉평면 무이리 16-10,
67,어반그린,식음료,강원도 춘천시 서면 박사로 732,강원도 춘천시 서면 현암리 578-5,
68,큐브존캠핑&펜션,숙박지,강원도 영월군 한반도면 한반도로 794-14,강원도 영월군 한반도면 옹정리 440-19,
69,꿈엔들캠프,숙박지,강원도 영월군 무릉도원면 무릉법흥로 968-12,강원도 영월군 무릉도원면 법흥리 51,
70,숲속의 정원,숙박지,강원도 고성군 죽왕면 곡실평길 332,강원도 고성군 죽왕면 야촌리 1024-30,
71,테라스의아침,식음료,강원도 홍천군 서면 팔봉강변길 217,강원도 홍천군 서면 팔봉리 83-3,
72,봉쥬르펜션,숙박지,강원도 평창군 봉평면 석이바우길 92-34,강원도 평창군 봉평면 면온리 697-38,
73,한반도캠핑장,숙박지,강원도 영월군 한반도면 후탄로 826,강원도 영월군 한반도면 후탄리 555-2,
74,러빙네이쳐 캠핑장,숙박지,강원도 인제군 남면 설악로 1129,강원도 인제군 남면 부평리 1070-2,
75,대박이하우스,숙박지,강원도 평창군 봉평면 진조2길 281-4,강원도 평창군 봉평면 진조리 260-5,
76,황토민박펜션,숙박지,강원도 동해시 분토길 188-7,강원도 동해시 지흥동 321-6,
77,월드니스 오토 캠핑장,숙박지,강원도 영월군 무릉도원면 도원운학로 475-10,강원도 영월군 무릉도원면 도원리 795-1,
78,카페서락,식음료,강원도 고성군 토성면 용원로 595,강원도 고성군 토성면 원암리 259-4,
79,몬띠마르펜션,숙박지,강원도 양양군 강현면 진미로 510-36,강원도 양양군 강현면 물갑리 254-5,
80,카페견로당,식음료,강원도 인제군 인제읍 자작나무숲길 1061-5,강원도 인제군 인제읍 원대리 671-13,
81,사진정원,식음료,강원도 원주시 소초면 황골로 426,강원도 원주시 소초면 흥양리 247,
82,평창듀오애견수영장계곡펜션,숙박지,강원도 평창군 방림면 감동지길 116-4,강원도 평창군 방림면 계촌리 2223-2,
83,우밀타,식음료,강원도 원주시 양지뜰4길 6,강원도 원주시 반곡동 1852-2,
84,단우물카페,식음료,강원도 춘천시 신북읍 신북로 323,강원도 춘천시 신북읍 산천리 320-2,
85,비안단테펜션 원주점,숙박지,강원도 원주시 부론면 부론로 285-5,강원도 원주시 부론면 정산리 2121-4,
86,나디아민박,숙박지,강원도 삼척시 근덕면 덕산해변길 144-6,강원도 삼척시 근덕면 덕산리 107-66,
87,유알컬처파크,체험,강원도 원주시 지정면 지정로 912,강원도 원주시 지정면 안창리 595-14,
88,유알풀빌라펜션,숙박지,강원도 원주시 지정면 지정로 912-1,강원도 원주시 지정면 안창리 595-6,
89,메이플펜션,숙박지,강원도 정선군 남면 자뭇골길 206,강원도 정선군 남면 무릉리 739-7,
90,멍비치,관광지,,강원도 양양군 현남면 광진리 78-20,
91,강촌잠빌펜션,숙박지,강원도 춘천시 남산면 강촌로 250,강원도 춘천시 남산면 방곡리 281-1,
92,어느멋진날카페,식음료,강원도 양양군 강현면 동해대로 3373,강원도 양양군 강현면 정암리 148-2,
93,정암해수욕장,관광지,,강원도 양양군 강현면 정암리 3,
94,펫타운,식음료,강원도 원주시 판부면 치악로 1071,강원도 원주시 판부면 금대리 893-2,
95,비치얼스,식음료,강원도 양양군 현북면 하조대4길 32,강원도 양양군 현북면 하광정리 95,
96,발렌타인애견펜션,숙박지,강원도 양양군 손양면 남대천로 251-117,강원도 양양군 손양면 상왕도리 742,
97,발바닥 애견카페,식음료,강원도 춘천시 동내면 거두길 26,강원도 춘천시 동내면 거두리 546-2,
98,남다르게,식음료,"강원도 속초시 대포항희망길 59, S동 17호",강원도 속초시 대포동 963,
99,아쇼카펜션,숙박지,강원도 양양군 손양면 선사유적로 316-104,강원도 양양군 손양면 동호리 1-43,
100,쏠리오,숙박지,강원도 춘천시 남산면 서천길 117,강원도 춘천시 남산면 서천리 319,
101,펜션 숲속하얀뜰,숙박지,강원도 평창군 봉평면 석이바우길 92-28,강원도 평창군 봉평면 면온리 697-17,
102,오핑펜션,숙박지,강원도 양양군 강현면 뒷나루2길 24-1,강원도 양양군 강현면 전진리 58-3,
103,영월캠프,숙박지,강원도 영월군 무릉도원면 무릉법흥로 1208-56,강원도 영월군 무릉도원면 법흥리 143-3,
104,도즈오프 애견운동장,식음료,강원도 원주시 신림면 신림황둔로 1060,강원도 원주시 신림면 황둔리 563,
105,아침에새소리,숙박지,강원도 평창군 봉평면 백운동길 60-6,강원도 평창군 봉평면 무이리 288-1,
106,시즈온,식음료,강원도 원주시 양지뜰4길 1-2,강원도 원주시 반곡동 1848-3,
107,퍼피쿵,식음료,강원도 춘천시 안마산로 34-17,강원도 춘천시 퇴계동 802-5,
108,월드니스 글램핑장,숙박지,강원도 영월군 무릉도원면 도원운학로 475-10,강원도 영월군 무릉도원면 도원리 795-1,
109,펜션지아니,숙박지,강원도 강릉시 강동면 정동3길 32-11,강원도 강릉시 강동면 정동진리 146-5,
110,파인트리 캠핑장,숙박지,강원도 정선군 남면 광락로 349-30,강원도 정선군 남면 낙동리 498-1,
111,수한예,숙박지,강원도 춘천시 동면 하일길 197,강원도 춘천시 동면 장학리 730-6,
112,까사초당,숙박지,강원도 강릉시 초당원길 69-1,강원도 강릉시 초당동 243-1,
