,도로명 주소,업체구분,업체명,연락처,지번 주소
0,강원도 강릉시 경포로 489-6,식음료,스웨이,,강원도 강릉시 안현동 94-143
1,강원도 인제군 상남면 내린천로 1622,숙박지,미산분교캠핑장,,강원도 인제군 상남면 미산리 376-6
2,강원도 영월군 무릉도원면 무릉법흥로 932,숙박지,하얀여울캠프,,강원도 영월군 무릉도원면 법흥리 37-11
3,강원도 동해시 망상길 43,식음료,솔솔밀크티,,강원도 동해시 망상동 363-1
4,강릉시 연곡면 해안로 1279,숙박지,카리스펜션,,강원도 강릉시 연곡면 동덕리 144-10
5,강원도 영월군 무릉도원면 고일길 18-5,숙박지,슬로우캠프,,강원도 영월군 무릉도원면 운학리 614-3
6,강원도 춘천시 남면 버들길 60-7,식음료,카페 캐빈,,강원도 춘천시 남면 후동리 367-2
7,강원도 영월군 무릉도원면 무릉법흥로 516,숙박지,금방아 민박 캠핑장,,강원도 영월군 무릉도원면 법흥리 728-1
8,강원도 춘천시 효석로 129,식음료,카페너니,,강원도 춘천시 석사동 660-9
9,강원도 영월군 주천면 평창강로 67,숙박지,사람과자연펜션,,강원도 영월군 주천면 판운리 302-13
10,강원도 춘천시 동내면 순환대로 630,식음료,세계주류마켓,,강원도 춘천시 동내면 학곡리 5-63
11,강원도 춘천시 서면 금산2길 22-4,숙박지,비안단테 펜션,,강원도 춘천시 서면 금산리 477-1
12,강원도 영월군 영월읍 선돌길 249,숙박지,청호정펜션,,강원도 영월군 영월읍 방절리 676-2
13,강원도 정선군 남면 광락로 519,숙박지,러브팩토리펜션&캠핑장,,강원도 정선군 남면 낙동리 618
14,강원도 양양군 현남면 화상해안길 247,식음료,거북이서프바,,강원도 양양군 현남면 남애리 180-13
15,강원도 철원군 서면 아리랑로37번길 19,식음료,와수리 커피,,강원도 철원군 서면 와수리 1194-58
16,강원도 양양군 강현면 중복골길 11,숙박지,양양해피플레이스,,강원도 양양군 강현면 중복리 109-2
17,강원도 양양군 현북면 동해대로 1242,관광지,해피플레이스애견비치,,강원도 양양군 현북면 잔교리 41-10
18,강원도 춘천시 신북읍 용산길 191-21,식음료,용산559,,강원도 춘천시 신북읍 용산리 559
19,강원도 춘천시 남산면 홍천강변길 410,숙박지,해피리버펜션,,강원도 춘천시 남산면 산수리 455-4
20,강원도 삼척시 근덕면 덕산해안로 78,숙박지,신나개 애견펜션,,강원도 삼척시 근덕면 덕산리 300
21,강원도 원주시 지정면 구재로 352-4,숙박지,오크카운티펜션,,강원도 원주시 지정면 판대리 612-27
22,강원도 양양군 서면 상평1길 17-2,숙박지,강이네하우스,,강원도 양양군 서면 상평리 437
23,강원도 춘천시 남춘로45번길 28,식음료,카페멜버른,,강원도 춘천시 효자동 704-23
24,강원도 홍천군 서면 굴업솔골길 60-9,숙박지,펜션아이리스,,강원도 홍천군 서면 굴업리 280
25,강원도 춘천시 동면 가산로 186-5,식음료,예와생스튜디오카페,,강원도 춘천시 동면 지내리 407
26,강원도 강릉시 해안로 656-1,숙박지,곰앤패들보드캠핑장,,강원도 강릉시 안현동 227-1
27,강원도 동해시 촛대바위길 18,식음료,추암대게,,강원도 동해시 추암동 1-9
28,강원도 양구군 양구읍 학안로 97-21,숙박지,학조리샘말펜션,,강원도 양구군 양구읍 학조리 612-1
29,강원도 영월군 주천면 황산벌길 186,숙박지,캠핑올라,,강원도 영월군 주천면 용석리 1281-1
30,강원도 춘천시 남산면 북한강변길 826,숙박지,아름다운집,,강원도 춘천시 남산면 강촌리 645-1
31,강원도 춘천시 신북읍 신샘밭로 622-7,식음료,신북커피,,강원도 춘천시 신북읍 천전리 672-5
32,강원도 양양군 서면 들돌길 207,숙박지,하얀멍이 애견펜션,,강원도 양양군 서면 장승리 174
33,강원도 홍천군 서면 한서로 1774,식음료,홍시,,강원도 홍천군 서면 대곡리 613
34,강원도 강릉시 주문진읍 연주로 308-1,동물병원,중앙동물병원,,강원도 강릉시 주문진읍 교항리 48-218
35,강원도 홍천군 홍천읍 홍천로 666-1,식음료,카페 까만콩,,강원도 홍천군 홍천읍 결운리 314-16
36,강원도 철원군 갈말읍 직탕길 26,숙박지,별비내리는마을펜션,,강원도 철원군 갈말읍 상사리 536
37,강원도 철원군 동송읍 도피동길 72-1,숙박지,학마을캠핑장,,강원도 철원군 동송읍 관우리 374-1
38,강원도 철원군 갈말읍 순담길 299,식음료,프로방스 카페,,강원도 철원군 갈말읍 군탄리 1749-2
39,강원도 속초시 동해대로3950번길 15,숙박지,조양펜션,,강원도 속초시 조양동 1463-7
40,강원도 홍천군 서면 한서로 2019,숙박지,엘페로애견펜션,,강원도 홍천군 서면 대곡리 86-11
41,강원도 정선군 고한읍 고토일길 275,숙박지,하이하늘펜션,,강원도 정선군 고한읍 고한리 239
42,강원도 양양군 강현면 동해대로 3411,숙박지,더퍼피즈블루오션,,강원도 양양군 강현면 정암리 17-1
43,강원도 고성군 죽왕면 괘진길 53-11,식음료,헬로우씨카페,,강원도 고성군 죽왕면 문암진리 134-70
44,강원도 원주시 소초면 황골로 269-23,숙박지,하이봉자,,강원도 원주시 소초면 흥양리 972-1
45,강원도 강릉시 창해로350번길 25,숙박지,블루앤펫,,강원도 강릉시 강문동 212
46,강릉시 안현로 114-12,숙박지,나인원펜션,,강원도 강릉시 안현동 743-3
47,강원도 평창군 방림면 감동지길 100,숙박지,도그밀리,,강원도 평창군 방림면 계촌리 2232
48,강원도 양양군 강현면 주청2길 17,숙박지,아담하우스,,강원도 양양군 강현면 주청리 7-30
49,,숙박지,방태산솔마루오토캠핑장,,강원도 인제군 기린면 방동리 257
50,강원도 춘천시 신북읍 지내고탄로 184,식음료,유기농카페,,강원도 춘천시 신북읍 지내리 664-1
51,강원도 인제군 상남면 내린천로 2355,숙박지,반디하우스,,강원도 인제군 상남면 미산리 780-1
52,강원도 철원군 갈말읍 직탕길 26,식음료,카페공간,,강원도 철원군 갈말읍 상사리 535
53,강원도 영월군 무릉도원면 무릉법흥로 1208-7,숙박지,영월키즈캠핑장(힐링캠프),,강원도 영월군 무릉도원면 법흥리 181
54,강원도 춘천시 남산면 갯골길 178,숙박지,하늘풍경펜션,,강원도 춘천시 남산면 방곡리 591
55,강원도 화천군 하남면 춘화로 2861-10,숙박지,화천써비스펜션,,강원도 화천군 하남면 거례리 265
56,강원도 속초시 관광로 250-20,식음료,나나 Dog,,강원도 속초시 노학동 843-10
57,강릉시 하남길 197-15,숙박지,경포도도애견펜션,,강원도 강릉시 안현동 403-3
58,강원도 정선군 남면 자뭇골길 212,숙박지,프로방스 펜션,,강원도 정선군 남면 무릉리 739-14
59,강원도 평창군 봉평면 흥정계곡길 72,숙박지,가을동화펜션,,강원도 평창군 봉평면 흥정리 285-3
60,강원도 평창군 봉평면 안흥동길 132-7,숙박지,힐링하시개,,강원도 평창군 봉평면 무이리 1116-1
61,강릉시 성산면 삼왕길 171-13,숙박지,해피몽펜션,,강원도 강릉시 성산면 보광리 881-2
62,강원도 평창군 봉평면 거품소길 271,숙박지,봄여름가을겨울,,강원도 평창군 봉평면 유포리 409-4
63,강원도 평창군 방림면 감동지길 104,숙박지,그랑샤리오,,강원도 평창군 방림면 계촌리 2228-2
64,강원도 정선군 정선읍 병방치길 35-18,숙박지,정선황토펜션,,강원도 정선군 정선읍 북실리 630-3
65,강원도 정선군 화암면 소금강로 2188,숙박지,락있수다펜션,,강원 정선군 화암면 호촌리 172-7
66,강원도 평창군 봉평면 봉평북로 250-60,숙박지,라비앙펜션,,강원도 평창군 봉평면 무이리 16-10
67,강원도 춘천시 서면 박사로 732,식음료,어반그린,,강원도 춘천시 서면 현암리 578-5
68,강원도 영월군 한반도면 한반도로 794-14,숙박지,큐브존캠핑&펜션,,강원도 영월군 한반도면 옹정리 440-19
69,강원도 영월군 무릉도원면 무릉법흥로 968-12,숙박지,꿈엔들캠프,,강원도 영월군 무릉도원면 법흥리 51
70,강원도 고성군 죽왕면 곡실평길 332,숙박지,숲속의 정원,,강원도 고성군 죽왕면 야촌리 1024-30
71,강원도 홍천군 서면 팔봉강변길 217,식음료,테라스의아침,,강원도 홍천군 서면 팔봉리 83-3
72,강원도 평창군 봉평면 석이바우길 92-34,숙박지,봉쥬르펜션,,강원도 평창군 봉평면 면온리 697-38
73,강원도 영월군 한반도면 후탄로 826,숙박지,한반도캠핑장,,강원도 영월군 한반도면 후탄리 555-2
74,강원도 인제군 남면 설악로 1129,숙박지,러빙네이쳐 캠핑장,,강원도 인제군 남면 부평리 1070-2
75,강원도 평창군 봉평면 진조2길 281-4,숙박지,대박이하우스,,강원도 평창군 봉평면 진조리 260-5
76,강원도 동해시 분토길 188-7,숙박지,황토민박펜션,,강원도 동해시 지흥동 321-6
77,강원도 영월군 무릉도원면 도원운학로 475-10,숙박지,월드니스 오토 캠핑장,,강원도 영월군 무릉도원면 도원리 795-1
78,강원도 고성군 토성면 용원로 595,식음료,카페서락,,강원도 고성군 토성면 원암리 259-4
79,강원도 양양군 강현면 진미로 510-36,숙박지,몬띠마르펜션,,강원도 양양군 강현면 물갑리 254-5
80,강원도 인제군 인제읍 자작나무숲길 1061-5,식음료,카페견로당,,강원도 인제군 인제읍 원대리 671-13
81,강원도 원주시 소초면 황골로 426,식음료,사진정원,,강원도 원주시 소초면 흥양리 247
82,강원도 평창군 방림면 감동지길 116-4,숙박지,평창듀오애견수영장계곡펜션,,강원도 평창군 방림면 계촌리 2223-2
83,강원도 원주시 양지뜰4길 6,식음료,우밀타,,강원도 원주시 반곡동 1852-2
84,강원도 춘천시 신북읍 신북로 323,식음료,단우물카페,,강원도 춘천시 신북읍 산천리 320-2
85,강원도 원주시 부론면 부론로 285-5,숙박지,비안단테펜션 원주점,,강원도 원주시 부론면 정산리 2121-4
86,강원도 삼척시 근덕면 덕산해변길 144-6,숙박지,나디아민박,,강원도 삼척시 근덕면 덕산리 107-66
87,강원도 원주시 지정면 지정로 912,체험,유알컬처파크,,강원도 원주시 지정면 안창리 595-14
88,강원도 원주시 지정면 지정로 912-1,숙박지,유알풀빌라펜션,,강원도 원주시 지정면 안창리 595-6
89,강원도 정선군 남면 자뭇골길 206,숙박지,메이플펜션,,강원도 정선군 남면 무릉리 739-7
90,,관광지,멍비치,,강원도 양양군 현남면 광진리 78-20
91,강원도 춘천시 남산면 강촌로 250,숙박지,강촌잠빌펜션,,강원도 춘천시 남산면 방곡리 281-1
92,강원도 양양군 강현면 동해대로 3373,식음료,어느멋진날카페,,강원도 양양군 강현면 정암리 148-2
93,,관광지,정암해수욕장,,강원도 양양군 강현면 정암리 3
94,강원도 원주시 판부면 치악로 1071,식음료,펫타운,,강원도 원주시 판부면 금대리 893-2
95,강원도 양양군 현북면 하조대4길 32,식음료,비치얼스,,강원도 양양군 현북면 하광정리 95
96,강원도 양양군 손양면 남대천로 251-117,숙박지,발렌타인애견펜션,,강원도 양양군 손양면 상왕도리 742
97,강원도 춘천시 동내면 거두길 26,식음료,발바닥 애견카페,,강원도 춘천시 동내면 거두리 546-2
