,검색일,검색량의 일별 상대적 비율
0,2021-01-01,18.0
1,2021-01-02,25.0
2,2021-01-03,27.5
3,2021-01-04,28.0
4,2021-01-05,29.5
5,2021-01-06,22.0
6,2021-01-07,29.0
7,2021-01-08,33.0
8,2021-01-09,10.0
9,2021-01-10,25.5
10,2021-01-11,16.5
11,2021-01-12,20.0
12,2021-01-13,10.5
13,2021-01-14,21.5
14,2021-01-15,17.0
15,2021-01-16,20.49999
16,2021-01-17,20.0
17,2021-01-18,17.0
18,2021-01-19,18.5
19,2021-01-20,20.0
20,2021-01-21,19.5
21,2021-01-22,24.0
22,2021-01-23,21.0
23,2021-01-24,26.5
24,2021-01-25,26.5
25,2021-01-26,26.0
26,2021-01-27,17.5
27,2021-01-28,20.49999
28,2021-01-29,18.0
29,2021-01-30,15.0
30,2021-01-31,15.5
31,2021-02-01,24.5
32,2021-02-02,17.0
33,2021-02-03,33.0
34,2021-02-04,21.5
35,2021-02-05,16.5
36,2021-02-06,12.5
37,2021-02-07,15.5
38,2021-02-08,21.5
39,2021-02-09,21.5
40,2021-02-10,19.5
41,2021-02-11,14.0
42,2021-02-12,11.5
43,2021-02-13,13.5
44,2021-02-14,18.5
45,2021-02-15,21.5
46,2021-02-16,12.0
47,2021-02-17,10.5
48,2021-02-18,15.0
49,2021-02-19,14.5
50,2021-02-20,11.5
51,2021-02-21,20.0
52,2021-02-22,21.0
53,2021-02-23,18.5
54,2021-02-24,11.0
55,2021-02-25,15.5
56,2021-02-26,22.0
57,2021-02-27,14.5
58,2021-02-28,12.5
59,2021-03-01,18.0
60,2021-03-02,12.0
61,2021-03-03,19.5
62,2021-03-04,20.0
63,2021-03-05,21.5
64,2021-03-06,12.0
65,2021-03-07,17.5
66,2021-03-08,24.5
67,2021-03-09,20.0
68,2021-03-10,16.0
69,2021-03-11,23.0
70,2021-03-12,27.0
71,2021-03-13,18.0
72,2021-03-14,21.5
73,2021-03-15,25.0
74,2021-03-16,29.5
75,2021-03-17,26.5
76,2021-03-18,31.0
77,2021-03-19,21.0
78,2021-03-20,17.0
79,2021-03-21,32.0
80,2021-03-22,22.0
81,2021-03-23,29.0
82,2021-03-24,24.0
83,2021-03-25,32.5
84,2021-03-26,18.0
85,2021-03-27,23.0
86,2021-03-28,33.5
87,2021-03-29,27.0
88,2021-03-30,23.5
89,2021-03-31,19.5
90,2021-04-01,31.0
91,2021-04-02,18.0
92,2021-04-03,18.0
93,2021-04-04,27.5
94,2021-04-05,32.0
95,2021-04-06,28.49999
96,2021-04-07,28.0
97,2021-04-08,22.0
98,2021-04-09,27.0
99,2021-04-10,19.0
100,2021-04-11,28.49999
101,2021-04-12,31.0
102,2021-04-13,35.0
103,2021-04-14,46.5
104,2021-04-15,25.5
105,2021-04-16,21.0
106,2021-04-17,23.5
107,2021-04-18,25.0
108,2021-04-19,32.0
109,2021-04-20,21.0
110,2021-04-21,26.0
111,2021-04-22,29.5
112,2021-04-23,19.5
113,2021-04-24,16.5
114,2021-04-25,13.0
115,2021-04-26,19.0
116,2021-04-27,25.0
117,2021-04-28,23.0
118,2021-04-29,25.0
119,2021-04-30,12.0
120,2021-05-01,10.5
121,2021-05-02,29.5
122,2021-05-03,17.5
123,2021-05-04,19.0
124,2021-05-05,14.5
